PlayerID,Solo,Ast,Tot,TFL,tfl_yds,FF,FR,fr_yd,Int,int_yds,BrUp,Blkd,Sack,sack_yds,QH,Home Score,Away Score,Season,fr_yds,Year
012722,11.0,2.0,13.0,1.0,32.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,225.0,20089,0.0,20089
012724,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,21.0,2008,0.0,2008
012815,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,48.0,4018,0.0,4018
012817,8.0,12.0,20.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,375.0,291.0,26138,0.0,26138
012818,6.0,4.0,10.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,139.0,115.0,8036,0.0,8036
012820,85.0,80.0,165.0,34.0,172.0,7.0,1.0,0.0,0.0,0.0,4.0,1.0,21.0,152.0,52.0,1305.0,1176.0,90472,0.0,90473
012822,143.0,94.0,237.0,14.0,50.0,4.0,1.0,0.0,4.0,0.0,20.0,2.0,2.0,16.0,9.0,1173.0,1110.0,82440,0.0,82440
012837,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,58.0,4019,0.0,4019
012838,4.0,5.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,311.0,287.0,20098,0.0,20099
012841,4.0,8.0,12.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,161.0,180.0,14067,0.0,14067
012843,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,96.0,8042,0.0,8042
012851,4.0,0.0,4.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,80.0,79.0,6028,0.0,6028
012881,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,7.0,2009,0.0,2009
012884,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,7.0,2009,0.0,2009
012893,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,7.0,2009,0.0,2009
