,PlayerID,Completions,Pass Attempts,Interceptions,Pass Yards,Passing TDs,Rush Attempts,Net Rush Yards,Rushing TDs,Yards Per Rush,Catches,Receiving Yards,Receiving TDs,Total Yards,Total TDs,First,Last,Start,End
116,5504,0.0,0.0,0.0,0.0,0.0,1.0,-14.0,0.0,-14.0,102.0,1609.0,15.0,1595.0,15.0,Lovell,Pinkney,1992.0,1994.0
117,4886,0.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,24.0,114.0,1567.0,4.0,1591.0,4.0,Johnny,Walker,1987.0,1990.0
118,5924,0.0,0.0,0.0,0.0,0.0,28.0,115.0,3.0,36.4,89.0,1538.0,15.0,1653.0,18.0,Wane,McGarity,1995.0,1998.0
119,3312,0.0,0.0,0.0,0.0,0.0,21.0,195.0,2.0,189.2,75.0,1505.0,9.0,1700.0,11.0,Alfred,Jackson,1975.0,1977.0
121,6608,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,21.0,91.0,1395.0,12.0,1416.0,12.0,Sloan,Thomas,2000.0,2003.0
122,6962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1367.0,15.0,1367.0,15.0,David,Thomas,2002.0,2005.0
123,7825,0.0,0.0,0.0,0.0,0.0,2.0,-10.0,0.0,-5.0,118.0,1365.0,9.0,1355.0,9.0,James,Kirkendoll,2008.0,2010.0
124,9896,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,12.0,99.0,1295.0,7.0,1307.0,7.0,Ja'Tavion,Sanders,2022.0,2023.0
125,7374,0.0,0.0,0.0,0.0,0.0,5.0,36.0,0.0,36.0,80.0,1283.0,9.0,1319.0,9.0,Billy,Pittman,2005.0,2007.0
126,4488,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,3.0,86.0,1230.0,5.0,1237.0,5.0,Gabriel,Johnson,1984.0,1987.0
127,5777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,1221.0,13.0,1221.0,13.0,Pat,Fitzgerald,1994.0,1996.0
128,3714,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,64.0,1190.0,7.0,1189.0,7.0,Lawr,Sampleton,1978.0,1981.0
129,2456,1.0,1.0,0.0,37.0,1.0,11.0,180.0,1.0,159.0,65.0,1172.0,9.0,1389.0,11.0,Charles,Speyrer,1968.0,1969.0
130,5389,0.0,2.0,0.0,0.0,0.0,1.0,-14.0,0.0,-14.0,74.0,1094.0,10.0,1080.0,10.0,Justi,McLemore,1991.0,1995.0
131,7826,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,10.0,74.0,1091.0,7.0,1101.0,7.0,Malcolm,Williams,2008.0,2010.0
132,7254,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,-3.0,99.0,1088.0,9.0,1085.0,9.0,Nate,Jones,2004.0,2007.0
133,4045,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,55.0,1086.0,7.0,1085.0,7.0,Brent,Duhon,1981.0,1984.0
134,8286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1062.0,8.0,1062.0,8.0,John,Harris,2011.0,2014.0
135,9353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1026.0,11.0,1026.0,11.0,Brennan,Eagles,2018.0,2020.0
136,3800,4.0,6.0,2.0,79.0,0.0,29.0,336.0,3.0,256.2,40.0,1024.0,12.0,1439.0,15.0,Herkie,Walls,1979.0,1982.0
137,4480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1011.0,6.0,1011.0,6.0,William,Harris,1984.0,1985.0
138,4885,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,7.0,73.0,990.0,10.0,997.0,10.0,Kerry,Cash,1987.0,1990.0
139,276,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,5.5,64.0,987.0,8.0,991.0,8.0,Tom,Stolhandske,1950.0,1952.0
141,5502,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,13.0,54.0,948.0,8.0,968.0,8.0,Eric,Jackson,1992.0,1994.0
142,4887,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,-3.0,57.0,929.0,13.0,926.0,13.0,Keith,Cash,1987.0,1990.0
143,6438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,918.0,10.0,918.0,10.0,Montrell,Flowers,1999.0,2001.0
144,5195,1.0,1.0,0.0,18.0,1.0,3.0,42.0,0.0,42.0,58.0,907.0,5.0,967.0,6.0,Darrick,Duke,1989.0,1992.0
145,8861,0.0,1.0,0.0,0.0,0.0,1.0,-2.0,0.0,-2.0,63.0,896.0,5.0,894.0,5.0,John,Burt,2015.0,2019.0
146,3535,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,54.0,862.0,4.0,866.0,4.0,Les,Koenning,1977.0,1980.0
147,10036,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,55.0,845.0,11.0,846.0,11.0,Adonai,Mitchell,2023.0,2023.0
148,4341,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,50.0,807.0,2.0,807.0,2.0,Everett,Gay,1983.0,1986.0
149,8452,0.0,0.0,0.0,0.0,0.0,58.0,397.0,1.0,162.2,82.0,806.0,2.0,1203.0,3.0,Daje,Johnson,2012.0,2015.0
